car_id,task_id,car_x,car_y,task_ram,task_rom,priority
0,Task_0_0,61,51,4,29,4
0,Task_0_1,39,98,8,12,5
0,Task_0_2,92,59,2,19,2
0,Task_0_3,50,72,8,27,1
0,Task_0_4,28,51,6,30,4
1,Task_1_0,5,76,8,48,5
1,Task_1_1,9,79,2,36,2
1,Task_1_2,73,20,3,28,4
1,Task_1_3,85,46,3,45,3
1,Task_1_4,10,100,3,31,4
2,Task_2_0,87,38,1,45,3
2,Task_2_1,89,63,3,38,1
2,Task_2_2,19,81,6,28,5
2,Task_2_3,52,26,2,50,1
2,Task_2_4,17,100,3,49,1
3,Task_3_0,65,41,4,37,2
3,Task_3_1,44,10,1,39,2
3,Task_3_2,11,51,1,44,2
3,Task_3_3,66,22,2,36,4
3,Task_3_4,89,8,3,18,1
4,Task_4_0,68,82,6,43,4
4,Task_4_1,24,32,3,15,3
4,Task_4_2,31,93,6,44,3
4,Task_4_3,19,16,2,14,3
4,Task_4_4,16,47,2,26,3
5,Task_5_0,31,46,3,44,1
5,Task_5_1,61,83,8,33,5
5,Task_5_2,76,35,4,43,5
5,Task_5_3,0,35,8,26,5
5,Task_5_4,87,28,7,13,2
6,Task_6_0,33,88,2,29,5
6,Task_6_1,44,14,4,28,1
6,Task_6_2,58,32,7,26,4
6,Task_6_3,94,51,1,40,2
6,Task_6_4,10,16,8,15,1
7,Task_7_0,50,59,2,27,2
7,Task_7_1,81,15,5,48,3
7,Task_7_2,74,12,4,31,2
7,Task_7_3,3,17,2,27,5
7,Task_7_4,59,28,4,45,1
8,Task_8_0,68,30,7,31,4
8,Task_8_1,58,42,2,43,2
8,Task_8_2,88,65,2,13,4
8,Task_8_3,23,86,8,16,5
8,Task_8_4,32,86,4,42,5
9,Task_9_0,98,45,2,19,5
9,Task_9_1,43,74,3,25,3
9,Task_9_2,93,74,6,45,5
9,Task_9_3,39,42,4,25,2
9,Task_9_4,91,76,4,22,2
